"Step","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_max","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_max__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_max__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_max","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_max__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_max__MAX","20260203_144832_traj_reward_fresh_configA - actor/ratio_max","20260203_144832_traj_reward_fresh_configA - actor/ratio_max__MIN","20260203_144832_traj_reward_fresh_configA - actor/ratio_max__MAX","20260203_141744_traj_reward_fresh - actor/ratio_max","20260203_141744_traj_reward_fresh - actor/ratio_max__MIN","20260203_141744_traj_reward_fresh - actor/ratio_max__MAX","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_max","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_max__MIN","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_max__MAX","20260201_191332_traj_reward_fresh - actor/ratio_max","20260201_191332_traj_reward_fresh - actor/ratio_max__MIN","20260201_191332_traj_reward_fresh - actor/ratio_max__MAX","20260131_160147_step_reward_fresh_configA - actor/ratio_max","20260131_160147_step_reward_fresh_configA - actor/ratio_max__MIN","20260131_160147_step_reward_fresh_configA - actor/ratio_max__MAX","20260131_160100_step_reward_fresh - actor/ratio_max","20260131_160100_step_reward_fresh - actor/ratio_max__MIN","20260131_160100_step_reward_fresh - actor/ratio_max__MAX","20260131_155522_traj_reward_fresh - actor/ratio_max","20260131_155522_traj_reward_fresh - actor/ratio_max__MIN","20260131_155522_traj_reward_fresh - actor/ratio_max__MAX","20260131_155911_traj_reward_fresh_configA - actor/ratio_max","20260131_155911_traj_reward_fresh_configA - actor/ratio_max__MIN","20260131_155911_traj_reward_fresh_configA - actor/ratio_max__MAX"
"0","1","1","1","1.1575770638883114","1.1575770638883114","1.1575770638883114","1.1377050876617432","1.1377050876617432","1.1377050876617432","1.0931678265333176","1.0931678265333176","1.0931678265333176","1.1233636774122715","1.1233636774122715","1.1233636774122715","1.1114012207835913","1.1114012207835913","1.1114012207835913","2.10467310808599","2.10467310808599","2.10467310808599","1.1247178688645363","1.1247178688645363","1.1247178688645363","1.0861310828477144","1.0861310828477144","1.0861310828477144","1.1134785935282707","1.1134785935282707","1.1134785935282707"
"1","1.1427923254668713","1.1427923254668713","1.1427923254668713","1.1679227463901043","1.1679227463901043","1.1679227463901043","1.159293308854103","1.159293308854103","1.159293308854103","1.1057465840131044","1.1057465840131044","1.1057465840131044","1.1328434608876705","1.1328434608876705","1.1328434608876705","1.0817006789147854","1.0817006789147854","1.0817006789147854","0.24422073556343094","0.24422073556343094","0.24422073556343094","1.213624487631023","1.213624487631023","1.213624487631023","1.1140279304236174","1.1140279304236174","1.1140279304236174","1.1199760138988495","1.1199760138988495","1.1199760138988495"
"2","1.2069521732628345","1.2069521732628345","1.2069521732628345","1.3341292813420296","1.3341292813420296","1.3341292813420296","1.3076030611991882","1.3076030611991882","1.3076030611991882","1.1418961249291897","1.1418961249291897","1.1418961249291897","1.296522207558155","1.296522207558155","1.296522207558155","1.1794629096984863","1.1794629096984863","1.1794629096984863","0.9416257085737767","0.9416257085737767","0.9416257085737767","1.184681050479412","1.184681050479412","1.184681050479412","1.1458632722496986","1.1458632722496986","1.1458632722496986","1.1595426015555859","1.1595426015555859","1.1595426015555859"
"3","1.7420401684939861","1.7420401684939861","1.7420401684939861","1.5851217173039913","1.5851217173039913","1.5851217173039913","2.081742249429226","2.081742249429226","2.081742249429226","1.1012675445526838","1.1012675445526838","1.1012675445526838","1.6354176178574562","1.6354176178574562","1.6354176178574562","1.2394937705248594","1.2394937705248594","1.2394937705248594","1.4005565094883048","1.4005565094883048","1.4005565094883048","1.3491648747585714","1.3491648747585714","1.3491648747585714","1.2678281301632524","1.2678281301632524","1.2678281301632524","1.2780969068408012","1.2780969068408012","1.2780969068408012"
"4","1.8704629577696323","1.8704629577696323","1.8704629577696323","1.1977266445755959","1.1977266445755959","1.1977266445755959","1.7448875289410353","1.7448875289410353","1.7448875289410353","1.1060050204396248","1.1060050204396248","1.1060050204396248","1.73623700812459","1.73623700812459","1.73623700812459","1.2279772516340017","1.2279772516340017","1.2279772516340017","1.5203619085126803","1.5203619085126803","1.5203619085126803","1.3599066608585417","1.3599066608585417","1.3599066608585417","1.186072369106114","1.186072369106114","1.186072369106114","1.8749926835298538","1.8749926835298538","1.8749926835298538"
"5","1.693722054362297","1.693722054362297","1.693722054362297","2.335265848785639","2.335265848785639","2.335265848785639","1.5440304167568684","1.5440304167568684","1.5440304167568684","1.2715906500816345","1.2715906500816345","1.2715906500816345","5.010462591424584","5.010462591424584","5.010462591424584","1.2497490718960762","1.2497490718960762","1.2497490718960762","2.356219052919961","2.356219052919961","2.356219052919961","2.0574152562767267","2.0574152562767267","2.0574152562767267","1.3394556175917387","1.3394556175917387","1.3394556175917387","1.7459530681371689","1.7459530681371689","1.7459530681371689"
"6","2.667198322713375","2.667198322713375","2.667198322713375","1.5454661138355732","1.5454661138355732","1.5454661138355732","2.0879417434334755","2.0879417434334755","2.0879417434334755","1.3511780835688114","1.3511780835688114","1.3511780835688114","2.660581262782216","2.660581262782216","2.660581262782216","1.263843346387148","1.263843346387148","1.263843346387148","5.721526961773634","5.721526961773634","5.721526961773634","1.630067627876997","1.630067627876997","1.630067627876997","1.2858569556847215","1.2858569556847215","1.2858569556847215","5.177513411268592","5.177513411268592","5.177513411268592"
"7","1.9643550515174866","1.9643550515174866","1.9643550515174866","1.5441798008978367","1.5441798008978367","1.5441798008978367","2.596775021404028","2.596775021404028","2.596775021404028","1.3666791263967752","1.3666791263967752","1.3666791263967752","3.7523151114583015","3.7523151114583015","3.7523151114583015","1.3598227482289076","1.3598227482289076","1.3598227482289076","4.19558865390718","4.19558865390718","4.19558865390718","1.4282489689067006","1.4282489689067006","1.4282489689067006","1.3046514242887497","1.3046514242887497","1.3046514242887497","5.489043513312936","5.489043513312936","5.489043513312936"
"8","3.3502218537032604","3.3502218537032604","3.3502218537032604","2.155841551721096","2.155841551721096","2.155841551721096","2.0613854490220547","2.0613854490220547","2.0613854490220547","1.7729101981967688","1.7729101981967688","1.7729101981967688","4.271992361173034","4.271992361173034","4.271992361173034","1.252449980005622","1.252449980005622","1.252449980005622","4.8144623674452305","4.8144623674452305","4.8144623674452305","1.5529716284945607","1.5529716284945607","1.5529716284945607","1.3284292370080948","1.3284292370080948","1.3284292370080948","17.225858081132174","17.225858081132174","17.225858081132174"
"9","3.797695681452751","3.797695681452751","3.797695681452751","1.6513990052044392","1.6513990052044392","1.6513990052044392","2.2009240463376045","2.2009240463376045","2.2009240463376045","1.5891908016055822","1.5891908016055822","1.5891908016055822","4.571615876629949","4.571615876629949","4.571615876629949","1.2787034269422293","1.2787034269422293","1.2787034269422293","19.234901126474142","19.234901126474142","19.234901126474142","2.305021249456331","2.305021249456331","2.305021249456331","1.3104988597333431","1.3104988597333431","1.3104988597333431","7.98172558285296","7.98172558285296","7.98172558285296"
