Step,20260114_143335_frozen_lake_no_replay_step,20260115_193211_traj_per,20260119_204444_step_per_nstep,20260119_223447_step_reward_fresh_nstep,20260120_142505_traj_reward_fresh,20260122_145133_step_baseline,20260122_145417_traj_baseline,20260122_150106_traj_per,20260123_164415_step_per,20260123_164201_step_baseline,20260124_155601_step_per,20260124_160415_step_reward_fresh,20260126_050125_step_reward_fresh,20260126_202655_traj_baseline,20260127_215523_traj_reward_fresh,20260128_181929_traj_reward_fresh_configA,20260128_184656_step_reward_fresh_configA,20260129_160515_traj_reward_fresh_configA,20260130_034120_step_reward_fresh_configA,20260130_040529_traj_reward_fresh_configA,20260130_040641_traj_reward_fresh,20260130_045910_step_reward_fresh,20260131_155911_traj_reward_fresh_configA,20260131_155522_traj_reward_fresh,20260131_160100_step_reward_fresh,20260131_160147_step_reward_fresh_configA,20260201_191332_traj_reward_fresh,20260201_191930_traj_reward_fresh_configA_IS,20260203_141744_traj_reward_fresh,20260203_144832_traj_reward_fresh_configA,20260203_145221_traj_reward_fresh_configA_age1000,20260203_145728_traj_reward_fresh_configA_age1500
0,4.253217697143555,1.937288761138916,2.2382495403289795,1.4961931705474854,2.6667065620422363,3.660118579864502,36605456.0,3.8320162296295166,2.057971239089966,4.165808200836182,2.229585647583008,3.040532112121582,4.102781295776367,1.5894523859024048,1.995239496231079,2.650036096572876,2.0367751121520996,2.233618974685669,3.346517562866211,3.5613558292388916,1.8765029907226562,1.957615852355957,2351767552.0,1.7933766841888428,5.887166976928711,2.1917338371276855,1.849059820175171,1.978804349899292,1.7186065912246704,2.240366220474243,1.8450794219970703,2.479296922683716
10,1254176000.0,95.99369812011719,35245813760.0,1100782336.0,16.128225326538086,19776387072.0,19.163415908813477,215895584.0,10.588568687438965,5505456.5,26.08182716369629,1660571.125,3.474656105041504,103006748672.0,381.8759765625,115739824.0,3998912512.0,5.469335079193115,5194021376.0,817.0322875976562,2.41697359085083,4.727565288543701,14760832.0,92.02578735351562,6.978215217590332,537880384.0,1.9716852903366089,6659987.5,1.834281086921692,15.647815704345703,21.259183883666992,11.576271057128906
20,2254888704.0,10145.0,169274671104.0,37415936000.0,34944704512.0,32740050944.0,142337.5625,41758.6484375,2.4684839248657227,1.3355783224105835,5.465435028076172,17064.20703125,8.846467018127441,1.9362118244171143,5394087.5,1445360.875,41355739136.0,256.71563720703125,8563334656.0,273911.21875,2.4184303283691406,4.5574541091918945,250542.875,3.3889822959899902,5.972803592681885,12120745984.0,2.0721471309661865,39706912.0,2.4300436973571777,4.25377082824707,1.6681469678878784,23.045501708984375
30,1365042432.0,10889.1435546875,131159457792.0,39823261696.0,243082912.0,499988889600.0,1.5492089986801147,4.988801002502441,2.0464558601379395,930.8660278320312,10.120957374572754,14759287.0,1.9297451972961426,1.291629672050476,2.5370798110961914,3.0691134929656982,71040417792.0,25.841516494750977,20642177024.0,23.2232666015625,2.3961126804351807,18.13449478149414,1237193344.0,3.4913299083709717,5.5562424659729,157637394432.0,1.9248085021972656,1786098944.0,2.346055030822754,3.34216046333313,1.2797993421554565,1.6381312608718872
40,3396037632.0,7.873627185821533,32272998400.0,88021794816.0,1227941120.0,1025498939392.0,1.2452647686004639,6838760.0,10.498716354370117,98870616064.0,6.4501166343688965,4.942943572998047,8.015207290649414,1.3056848049163818,84.45298767089844,1670856.75,107790073856.0,237.49911499023438,1427355136.0,161.01361083984375,1.9334344863891602,7.210535049438477,2559159.5,4.792857646942139,8.837409019470215,18036943749120.0,1.8049609661102295,13.101616859436035,4.942782878875732,1.3845436573028564,1.271899938583374,3502757.5
50,989068160.0,2.4828848838806152,72049606656.0,44387565568.0,7769953.0,701890887680.0,1.2832674980163574,7168242.0,1.7461093664169312,1.4125709533691406,2.942267894744873,183059184.0,20.11738395690918,1.3607017993927002,2.010063648223877,3174130.0,23871422464.0,49.80339431762695,5695790592.0,2278933.75,3.486292839050293,12.541465759277344,6494367.5,7.472702980041504,2.233792543411255,5794071314432.0,2.032334566116333,1485395456.0,2.724865198135376,1.4653345346450806,1.3934980630874634,1.7722946405410767
60,314861289472.0,137.2967987060547,34075752448.0,38417317888.0,1.6543020009994507,791727046656.0,1.171769618988037,1.5815720558166504,7.925448894500732,1.294222354888916,3.020867109298706,4.1966633796691895,2.143643617630005,1.346291184425354,3.318096160888672,778530.8125,47847006208.0,604.3992919921875,48498298880.0,39975460.0,2653855.5,9.03650951385498,2.0431690216064453,4.189328193664551,8.377037048339844,933983655297024.0,2.1472737789154053,541151936.0,4.159425258636475,1.5186364650726318,1.38735830783844,1.3463321924209595
70,1931642011648.0,3.760051727294922,78877048832.0,34310639616.0,1.4816222190856934,635670757376.0,1.1701475381851196,1.357637882232666,1.5663719177246094,62035156992.0,295014.375,6415581184.0,4.45095682144165,1.3175153732299805,5.462179183959961,1.3380606174468994,36838227968.0,484.35833740234375,5141766144.0,5.639244556427002,2.1483864784240723,25.948040008544922,4.066300392150879,6.639359474182129,3.319955587387085,1.7035396147838976e+16,2.170628309249878,53062684.0,3.3304951190948486,1.4313141107559204,1.2721593379974365,1.5813133716583252
80,1131026186240.0,1.7363245487213135,30070153216.0,26712315904.0,86.76844024658203,2725453234176.0,1.2060531377792358,5.24179744720459,2.089397668838501,106810728.0,3.096312999725342,4.033295631408691,4.9763712882995605,1.3203238248825073,2.0900511741638184,456587.15625,83091546112.0,57.45947265625,28221267968.0,2770241024.0,2.1464226245880127,34.91228103637695,1.8768863677978516,1756525.5,11.144028663635254,3.070293105673503e+17,2.090214490890503,505.2972412109375,2.0066633224487305,2.9952449798583984,1.3175216913223267,1.3755857944488525
90,263126695936.0,2.3733041286468506,29520066560.0,43632939008.0,642.4142456054688,1881268420608.0,1.2159907817840576,9.55482006072998,4.22953987121582,143258.4375,5.4722418785095215,636772864.0,2.700228452682495,1.3007161617279053,2.7932705879211426,2.0285520553588867,61615583232.0,420.297119140625,30616248320.0,968.51318359375,103900.5390625,1208.5096435546875,3.6427090167999268,2.3578507900238037,16.678049087524414,5.152260978942935e+17,2.0605475902557373,5318230.5,2.585174083709717,1.4151772260665894,1.2530059814453125,1.446496605873108
