"Step","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/importance_weight/mean","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/importance_weight/mean__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/importance_weight/mean__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/importance_weight/mean","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/importance_weight/mean__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/importance_weight/mean__MAX","20260203_144832_traj_reward_fresh_configA - offpolicy/importance_weight/mean","20260203_144832_traj_reward_fresh_configA - offpolicy/importance_weight/mean__MIN","20260203_144832_traj_reward_fresh_configA - offpolicy/importance_weight/mean__MAX","20260203_141744_traj_reward_fresh - offpolicy/importance_weight/mean","20260203_141744_traj_reward_fresh - offpolicy/importance_weight/mean__MIN","20260203_141744_traj_reward_fresh - offpolicy/importance_weight/mean__MAX","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/importance_weight/mean","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/importance_weight/mean__MIN","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/importance_weight/mean__MAX","20260201_191332_traj_reward_fresh - offpolicy/importance_weight/mean","20260201_191332_traj_reward_fresh - offpolicy/importance_weight/mean__MIN","20260201_191332_traj_reward_fresh - offpolicy/importance_weight/mean__MAX","20260131_160147_step_reward_fresh_configA - offpolicy/importance_weight/mean","20260131_160147_step_reward_fresh_configA - offpolicy/importance_weight/mean__MIN","20260131_160147_step_reward_fresh_configA - offpolicy/importance_weight/mean__MAX","20260131_160100_step_reward_fresh - offpolicy/importance_weight/mean","20260131_160100_step_reward_fresh - offpolicy/importance_weight/mean__MIN","20260131_160100_step_reward_fresh - offpolicy/importance_weight/mean__MAX","20260131_155522_traj_reward_fresh - offpolicy/importance_weight/mean","20260131_155522_traj_reward_fresh - offpolicy/importance_weight/mean__MIN","20260131_155522_traj_reward_fresh - offpolicy/importance_weight/mean__MAX","20260131_155911_traj_reward_fresh_configA - offpolicy/importance_weight/mean","20260131_155911_traj_reward_fresh_configA - offpolicy/importance_weight/mean__MIN","20260131_155911_traj_reward_fresh_configA - offpolicy/importance_weight/mean__MAX"
"0","2.479296922683716","2.479296922683716","2.479296922683716","1.8450794219970703","1.8450794219970703","1.8450794219970703","2.240366220474243","2.240366220474243","2.240366220474243","1.7186065912246704","1.7186065912246704","1.7186065912246704","1.978804349899292","1.978804349899292","1.978804349899292","1.849059820175171","1.849059820175171","1.849059820175171","2.1917338371276855","2.1917338371276855","2.1917338371276855","5.887166976928711","5.887166976928711","5.887166976928711","1.7933766841888428","1.7933766841888428","1.7933766841888428","2351767552","2351767552","2351767552"
"1","2.114468574523926","2.114468574523926","2.114468574523926","2.2212717533111572","2.2212717533111572","2.2212717533111572","3.170790195465088","3.170790195465088","3.170790195465088","3.9675464630126953","3.9675464630126953","3.9675464630126953","1.8361173868179321","1.8361173868179321","1.8361173868179321","1.8442261219024658","1.8442261219024658","1.8442261219024658","2.6628477573394775","2.6628477573394775","2.6628477573394775","2.540724039077759","2.540724039077759","2.540724039077759","1.8036696910858154","1.8036696910858154","1.8036696910858154","2345518336","2345518336","2345518336"
"2","1.750398874282837","1.750398874282837","1.750398874282837","2.0146992206573486","2.0146992206573486","2.0146992206573486","2.28705096244812","2.28705096244812","2.28705096244812","11565.0810546875","11565.0810546875","11565.0810546875","1.9249018430709839","1.9249018430709839","1.9249018430709839","1.7922083139419556","1.7922083139419556","1.7922083139419556","1949934.875","1949934.875","1949934.875","8.661151885986328","8.661151885986328","8.661151885986328","1.7565128803253174","1.7565128803253174","1.7565128803253174","1.8731337785720825","1.8731337785720825","1.8731337785720825"
"3","1.7598260641098022","1.7598260641098022","1.7598260641098022","1.778070330619812","1.778070330619812","1.778070330619812","1.750597357749939","1.750597357749939","1.750597357749939","2.266641139984131","2.266641139984131","2.266641139984131","1.7700732946395874","1.7700732946395874","1.7700732946395874","19992450","19992450","19992450","3632179.5","3632179.5","3632179.5","5.02954626083374","5.02954626083374","5.02954626083374","1.8254427909851074","1.8254427909851074","1.8254427909851074","1.7557151317596436","1.7557151317596436","1.7557151317596436"
"4","5.380646228790283","5.380646228790283","5.380646228790283","2.826967239379883","2.826967239379883","2.826967239379883","2.8953511714935303","2.8953511714935303","2.8953511714935303","1.7228366136550903","1.7228366136550903","1.7228366136550903","2.495981216430664","2.495981216430664","2.495981216430664","1.7989546060562134","1.7989546060562134","1.7989546060562134","5376.2998046875","5376.2998046875","5376.2998046875","3.6577746868133545","3.6577746868133545","3.6577746868133545","1.8752553462982178","1.8752553462982178","1.8752553462982178","1.5627833604812622","1.5627833604812622","1.5627833604812622"
"5","3.4039061069488525","3.4039061069488525","3.4039061069488525","6.114251613616943","6.114251613616943","6.114251613616943","12210659","12210659","12210659","5.103899002075195","5.103899002075195","5.103899002075195","36617.36328125","36617.36328125","36617.36328125","22025824","22025824","22025824","9549557760","9549557760","9549557760","16.206010818481445","16.206010818481445","16.206010818481445","1.996809482574463","1.996809482574463","1.996809482574463","4685432881152","4685432881152","4685432881152"
"6","84028.375","84028.375","84028.375","2805358","2805358","2805358","3.8957574367523193","3.8957574367523193","3.8957574367523193","7499180","7499180","7499180","11454.8544921875","11454.8544921875","11454.8544921875","2.593026638031006","2.593026638031006","2.593026638031006","451810754560","451810754560","451810754560","456.6582336425781","456.6582336425781","456.6582336425781","2.0492959022521973","2.0492959022521973","2.0492959022521973","1836825600","1836825600","1836825600"
"7","4.038568019866943","4.038568019866943","4.038568019866943","3.8868136405944824","3.8868136405944824","3.8868136405944824","108191.15625","108191.15625","108191.15625","6.424694061279297","6.424694061279297","6.424694061279297","26405.638671875","26405.638671875","26405.638671875","1.956330418586731","1.956330418586731","1.956330418586731","2390875136","2390875136","2390875136","7070084608","7070084608","7070084608","91.7094497680664","91.7094497680664","91.7094497680664","1374458880","1374458880","1374458880"
"8","4.488430023193359","4.488430023193359","4.488430023193359","2722277.75","2722277.75","2722277.75","54.28858947753906","54.28858947753906","54.28858947753906","1.932898998260498","1.932898998260498","1.932898998260498","6.179091453552246","6.179091453552246","6.179091453552246","3215823.75","3215823.75","3215823.75","8437479936","8437479936","8437479936","371014624","371014624","371014624","2.522968292236328","2.522968292236328","2.522968292236328","620.755126953125","620.755126953125","620.755126953125"
"9","22.131505966186523","22.131505966186523","22.131505966186523","737354.75","737354.75","737354.75","2352983","2352983","2352983","2033747.25","2033747.25","2033747.25","22345.1484375","22345.1484375","22345.1484375","2.049988269805908","2.049988269805908","2.049988269805908","7745463808","7745463808","7745463808","363848576","363848576","363848576","2.292024612426758","2.292024612426758","2.292024612426758","7255715328","7255715328","7255715328"
"10","11.576271057128906","11.576271057128906","11.576271057128906","21.259183883666992","21.259183883666992","21.259183883666992","15.647815704345703","15.647815704345703","15.647815704345703","1.834281086921692","1.834281086921692","1.834281086921692","6659987.5","6659987.5","6659987.5","1.9716852903366089","1.9716852903366089","1.9716852903366089","537880384","537880384","537880384","6.978215217590332","6.978215217590332","6.978215217590332","92.02578735351562","92.02578735351562","92.02578735351562","14760832","14760832","14760832"
"11","4383145","4383145","4383145","4149053.25","4149053.25","4149053.25","8.971548080444336","8.971548080444336","8.971548080444336","1.5843076705932617","1.5843076705932617","1.5843076705932617","2499315712","2499315712","2499315712","2.7664639949798584","2.7664639949798584","2.7664639949798584","191288590336","191288590336","191288590336","3.5509121417999268","3.5509121417999268","3.5509121417999268","4.367532253265381","4.367532253265381","4.367532253265381","155.5572509765625","155.5572509765625","155.5572509765625"
"12","4397864960","4397864960","4397864960","2630.640869140625","2630.640869140625","2630.640869140625","7.367496967315674","7.367496967315674","7.367496967315674","2.2711520195007324","2.2711520195007324","2.2711520195007324","528292256","528292256","528292256","1.9093616008758545","1.9093616008758545","1.9093616008758545","456473280","456473280","456473280","1076.7777099609375","1076.7777099609375","1076.7777099609375","1.9207199811935425","1.9207199811935425","1.9207199811935425","26.835927963256836","26.835927963256836","26.835927963256836"
