"Step","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/importance_weight/median","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/importance_weight/median__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/importance_weight/median__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/importance_weight/median","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/importance_weight/median__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/importance_weight/median__MAX","20260203_144832_traj_reward_fresh_configA - offpolicy/importance_weight/median","20260203_144832_traj_reward_fresh_configA - offpolicy/importance_weight/median__MIN","20260203_144832_traj_reward_fresh_configA - offpolicy/importance_weight/median__MAX","20260203_141744_traj_reward_fresh - offpolicy/importance_weight/median","20260203_141744_traj_reward_fresh - offpolicy/importance_weight/median__MIN","20260203_141744_traj_reward_fresh - offpolicy/importance_weight/median__MAX","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/importance_weight/median","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/importance_weight/median__MIN","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/importance_weight/median__MAX","20260201_191332_traj_reward_fresh - offpolicy/importance_weight/median","20260201_191332_traj_reward_fresh - offpolicy/importance_weight/median__MIN","20260201_191332_traj_reward_fresh - offpolicy/importance_weight/median__MAX","20260131_160147_step_reward_fresh_configA - offpolicy/importance_weight/median","20260131_160147_step_reward_fresh_configA - offpolicy/importance_weight/median__MIN","20260131_160147_step_reward_fresh_configA - offpolicy/importance_weight/median__MAX","20260131_160100_step_reward_fresh - offpolicy/importance_weight/median","20260131_160100_step_reward_fresh - offpolicy/importance_weight/median__MIN","20260131_160100_step_reward_fresh - offpolicy/importance_weight/median__MAX","20260131_155522_traj_reward_fresh - offpolicy/importance_weight/median","20260131_155522_traj_reward_fresh - offpolicy/importance_weight/median__MIN","20260131_155522_traj_reward_fresh - offpolicy/importance_weight/median__MAX","20260131_155911_traj_reward_fresh_configA - offpolicy/importance_weight/median","20260131_155911_traj_reward_fresh_configA - offpolicy/importance_weight/median__MIN","20260131_155911_traj_reward_fresh_configA - offpolicy/importance_weight/median__MAX"
"0","1.0025383234024048","1.0025383234024048","1.0025383234024048","1.0005154609680176","1.0005154609680176","1.0005154609680176","1.001082181930542","1.001082181930542","1.001082181930542","1.001983642578125","1.001983642578125","1.001983642578125","1.000973105430603","1.000973105430603","1.000973105430603","1.0016573667526245","1.0016573667526245","1.0016573667526245","1.006747841835022","1.006747841835022","1.006747841835022","1.0115361213684082","1.0115361213684082","1.0115361213684082","1.0011796951293945","1.0011796951293945","1.0011796951293945","1.0029029846191406","1.0029029846191406","1.0029029846191406"
"1","1.0004589557647705","1.0004589557647705","1.0004589557647705","1.0014712810516357","1.0014712810516357","1.0014712810516357","1.0024651288986206","1.0024651288986206","1.0024651288986206","1.0035555362701416","1.0035555362701416","1.0035555362701416","1.0009849071502686","1.0009849071502686","1.0009849071502686","1.0012571811676025","1.0012571811676025","1.0012571811676025","1.0152416229248047","1.0152416229248047","1.0152416229248047","1.0167032480239868","1.0167032480239868","1.0167032480239868","1.0007719993591309","1.0007719993591309","1.0007719993591309","1.002488374710083","1.002488374710083","1.002488374710083"
"2","1.0024727582931519","1.0024727582931519","1.0024727582931519","1.00079345703125","1.00079345703125","1.00079345703125","1.00178062915802","1.00178062915802","1.00178062915802","1.0018385648727417","1.0018385648727417","1.0018385648727417","1.0023856163024902","1.0023856163024902","1.0023856163024902","1.0019086599349976","1.0019086599349976","1.0019086599349976","1.1103113889694214","1.1103113889694214","1.1103113889694214","1.0608410835266113","1.0608410835266113","1.0608410835266113","1.0005924701690674","1.0005924701690674","1.0005924701690674","1.002023458480835","1.002023458480835","1.002023458480835"
"3","1.0006043910980225","1.0006043910980225","1.0006043910980225","1.001921534538269","1.001921534538269","1.001921534538269","1.0011894702911377","1.0011894702911377","1.0011894702911377","1.002784252166748","1.002784252166748","1.002784252166748","1.0007306337356567","1.0007306337356567","1.0007306337356567","1.003003716468811","1.003003716468811","1.003003716468811","1.0694397687911987","1.0694397687911987","1.0694397687911987","1.12883722782135","1.12883722782135","1.12883722782135","1.000829815864563","1.000829815864563","1.000829815864563","1.0025725364685059","1.0025725364685059","1.0025725364685059"
"4","1.0019073486328125","1.0019073486328125","1.0019073486328125","1.0037078857421875","1.0037078857421875","1.0037078857421875","1.0015374422073364","1.0015374422073364","1.0015374422073364","1.0033601522445679","1.0033601522445679","1.0033601522445679","1.0009922981262207","1.0009922981262207","1.0009922981262207","1.0010164976119995","1.0010164976119995","1.0010164976119995","1.1220194101333618","1.1220194101333618","1.1220194101333618","1.062670350074768","1.062670350074768","1.062670350074768","1.001695156097412","1.001695156097412","1.001695156097412","1.0007303953170776","1.0007303953170776","1.0007303953170776"
"5","1.0018543004989624","1.0018543004989624","1.0018543004989624","1.0045214891433716","1.0045214891433716","1.0045214891433716","1.0008870363235474","1.0008870363235474","1.0008870363235474","1.0030564069747925","1.0030564069747925","1.0030564069747925","1.001514196395874","1.001514196395874","1.001514196395874","1.0031237602233887","1.0031237602233887","1.0031237602233887","1.063152551651001","1.063152551651001","1.063152551651001","1.0807807445526123","1.0807807445526123","1.0807807445526123","1.0024244785308838","1.0024244785308838","1.0024244785308838","1.00065279006958","1.00065279006958","1.00065279006958"
"6","1.001565933227539","1.001565933227539","1.001565933227539","1.0024497509002686","1.0024497509002686","1.0024497509002686","1.0006444454193115","1.0006444454193115","1.0006444454193115","1.0019630193710327","1.0019630193710327","1.0019630193710327","1.0020642280578613","1.0020642280578613","1.0020642280578613","1.0032460689544678","1.0032460689544678","1.0032460689544678","1.075805425643921","1.075805425643921","1.075805425643921","1.0225008726119995","1.0225008726119995","1.0225008726119995","1.0015507936477661","1.0015507936477661","1.0015507936477661","1.0027804374694824","1.0027804374694824","1.0027804374694824"
"7","1.0008316040039062","1.0008316040039062","1.0008316040039062","1.0009000301361084","1.0009000301361084","1.0009000301361084","1.0007736682891846","1.0007736682891846","1.0007736682891846","1.002005696296692","1.002005696296692","1.002005696296692","1.002357840538025","1.002357840538025","1.002357840538025","1.002152442932129","1.002152442932129","1.002152442932129","1.074133276939392","1.074133276939392","1.074133276939392","1.0412522554397583","1.0412522554397583","1.0412522554397583","1.0021839141845703","1.0021839141845703","1.0021839141845703","1.001568078994751","1.001568078994751","1.001568078994751"
"8","1.0007879734039307","1.0007879734039307","1.0007879734039307","1.000966191291809","1.000966191291809","1.000966191291809","1.0005711317062378","1.0005711317062378","1.0005711317062378","1.00062894821167","1.00062894821167","1.00062894821167","1.0015679597854614","1.0015679597854614","1.0015679597854614","1.003360629081726","1.003360629081726","1.003360629081726","1.1115896701812744","1.1115896701812744","1.1115896701812744","1.0890512466430664","1.0890512466430664","1.0890512466430664","1.0010759830474854","1.0010759830474854","1.0010759830474854","1.001272201538086","1.001272201538086","1.001272201538086"
"9","1.000443696975708","1.000443696975708","1.000443696975708","1.001102089881897","1.001102089881897","1.001102089881897","1.0006234645843506","1.0006234645843506","1.0006234645843506","1.0005247592926025","1.0005247592926025","1.0005247592926025","1.0016347169876099","1.0016347169876099","1.0016347169876099","1.0012433528900146","1.0012433528900146","1.0012433528900146","1.126004695892334","1.126004695892334","1.126004695892334","1.0520801544189453","1.0520801544189453","1.0520801544189453","1.00393545627594","1.00393545627594","1.00393545627594","1.0022504329681396","1.0022504329681396","1.0022504329681396"
