step,score,success
0,0.3203125,0.3203125
5,0.265625,0.265625
10,0.2734375,0.2734375
15,0.28125,0.28125
20,0.3046875,0.3046875
25,0.2890625,0.2890625
30,0.3203125,0.3203125
35,0.2734375,0.2734375
40,0.40625,0.40625
45,0.4609375,0.4609375
50,0.3828125,0.3828125
55,0.3515625,0.3515625
60,0.4375,0.4375
65,0.390625,0.390625
70,0.421875,0.421875
75,0.4453125,0.4453125
80,0.484375,0.484375
85,0.453125,0.453125
90,0.4609375,0.4609375
95,0.484375,0.484375
100,0.4609375,0.4609375
105,0.4765625,0.4765625
110,0.484375,0.484375
115,0.46875,0.46875
120,0.4921875,0.4921875
125,0.515625,0.515625
130,0.515625,0.515625
135,0.53125,0.53125
140,0.5703125,0.5703125
145,0.5703125,0.5703125
150,0.515625,0.515625
155,0.5703125,0.5703125
160,0.6015625,0.6015625
165,0.71875,0.71875
170,0.7421875,0.7421875
175,0.5703125,0.5703125
180,0.5625,0.5625
185,0.578125,0.578125
190,0.6484375,0.6484375
195,0.6875,0.6875
200,0.6875,0.6875
