step,score,success
0,0.2578125,0.2578125
5,0.2578125,0.2578125
10,0.3046875,0.3046875
15,0.2578125,0.2578125
20,0.296875,0.296875
25,0.2734375,0.2734375
30,0.28125,0.28125
35,0.3125,0.3125
40,0.2421875,0.2421875
45,0.296875,0.296875
50,0.296875,0.296875
55,0.3203125,0.3203125
60,0.3203125,0.3203125
65,0.2578125,0.2578125
70,0.328125,0.328125
75,0.28125,0.28125
80,0.2578125,0.2578125
85,0.3203125,0.3203125
90,0.3125,0.3125
95,0.3359375,0.3359375
100,0.2578125,0.2578125
105,0.296875,0.296875
110,0.2890625,0.2890625
115,0.3203125,0.3203125
120,0.28125,0.28125
125,0.296875,0.296875
130,0.2578125,0.2578125
135,0.28125,0.28125
140,0.296875,0.296875
145,0.25,0.25
150,0.3125,0.3125
155,0.2890625,0.2890625
160,0.2890625,0.2890625
165,0.28125,0.28125
170,0.3125,0.3125
175,0.25,0.25
180,0.0625,0.0625
185,0,0
190,0.0078125,0.0078125
195,0,0
200,0.015625,0.015625
205,0.0078125,0.0078125
210,0.0390625,0.0390625
