"Step","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean__MAX","20260203_144832_traj_reward_fresh_configA - critic/score/mean","20260203_144832_traj_reward_fresh_configA - critic/score/mean__MIN","20260203_144832_traj_reward_fresh_configA - critic/score/mean__MAX","20260203_141744_traj_reward_fresh - critic/score/mean","20260203_141744_traj_reward_fresh - critic/score/mean__MIN","20260203_141744_traj_reward_fresh - critic/score/mean__MAX","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean__MIN","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean__MAX","20260201_191332_traj_reward_fresh - critic/score/mean","20260201_191332_traj_reward_fresh - critic/score/mean__MIN","20260201_191332_traj_reward_fresh - critic/score/mean__MAX","20260131_160147_step_reward_fresh_configA - critic/score/mean","20260131_160147_step_reward_fresh_configA - critic/score/mean__MIN","20260131_160147_step_reward_fresh_configA - critic/score/mean__MAX","20260131_160100_step_reward_fresh - critic/score/mean","20260131_160100_step_reward_fresh - critic/score/mean__MIN","20260131_160100_step_reward_fresh - critic/score/mean__MAX","20260131_155522_traj_reward_fresh - critic/score/mean","20260131_155522_traj_reward_fresh - critic/score/mean__MIN","20260131_155522_traj_reward_fresh - critic/score/mean__MAX","20260131_155911_traj_reward_fresh_configA - critic/score/mean","20260131_155911_traj_reward_fresh_configA - critic/score/mean__MIN","20260131_155911_traj_reward_fresh_configA - critic/score/mean__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.0078125","0.0078125","0.0078125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0078125","0.0078125","0.0078125","0","0","0","0.0078125","0.0078125","0.0078125","0","0","0"
"2","0","0","0","0","0","0","0.015625","0.015625","0.015625","0","0","0","0","0","0","0.0078125","0.0078125","0.0078125","0.0546875","0.0546875","0.0546875","0.0234375","0.0234375","0.0234375","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015625","0.015625","0.015625","0.0234375","0.0234375","0.0234375","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0.0078125","0.0078125","0.0078125","0.0078125","0.0078125","0.0078125","0.0078125","0.0078125","0.0078125","0","0","0","0.007874015718698502","0.007874015718698502","0.007874015718698502","0.046875","0.046875","0.046875","0","0","0","0","0","0"
"5","0.046875","0.046875","0.046875","0.0546875","0.0546875","0.0546875","0.0390625","0.0390625","0.0390625","0.0078125","0.0078125","0.0078125","0.0234375","0.0234375","0.0234375","0","0","0","0.0859375","0.0859375","0.0859375","0.07086614519357681","0.07086614519357681","0.07086614519357681","0","0","0","0.015625","0.015625","0.015625"
"6","0.0625","0.0625","0.0625","0.0703125","0.0703125","0.0703125","0.03125","0.03125","0.03125","0.046875","0.046875","0.046875","0.0703125","0.0703125","0.0703125","0","0","0","0.03125","0.03125","0.03125","0.0873015895485878","0.0873015895485878","0.0873015895485878","0.0078125","0.0078125","0.0078125","0.0234375","0.0234375","0.0234375"
"7","0.09375","0.09375","0.09375","0.140625","0.140625","0.140625","0.0078125","0.0078125","0.0078125","0.03125","0.03125","0.03125","0.0390625","0.0390625","0.0390625","0","0","0","0.1015625","0.1015625","0.1015625","0.14516128599643707","0.14516128599643707","0.14516128599643707","0","0","0","0.0625","0.0625","0.0625"
"8","0.0546875","0.0546875","0.0546875","0.078125","0.078125","0.078125","0.03125","0.03125","0.03125","0.078125","0.078125","0.078125","0.046875","0.046875","0.046875","0.0078125","0.0078125","0.0078125","0.0859375","0.0859375","0.0859375","0.11290322244167328","0.11290322244167328","0.11290322244167328","0.0078125","0.0078125","0.0078125","0.0078125","0.0078125","0.0078125"
"9","0.078125","0.078125","0.078125","0.15625","0.15625","0.15625","0.1171875","0.1171875","0.1171875","0.125","0.125","0.125","0.0078125","0.0078125","0.0078125","0.015625","0.015625","0.015625","0.06299212574958801","0.06299212574958801","0.06299212574958801","0.13385826349258423","0.13385826349258423","0.13385826349258423","0.015625","0.015625","0.015625","0.0703125","0.0703125","0.0703125"
"10","0.15625","0.15625","0.15625","0.171875","0.171875","0.171875","0.109375","0.109375","0.109375","0.09375","0.09375","0.09375","0.0703125","0.0703125","0.0703125","0","0","0","0.0703125","0.0703125","0.0703125","0.0859375","0.0859375","0.0859375","0","0","0","0.0859375","0.0859375","0.0859375"
"11","0.1015625","0.1015625","0.1015625","0.203125","0.203125","0.203125","0.1796875","0.1796875","0.1796875","0.1640625","0.1640625","0.1640625","0.0390625","0.0390625","0.0390625","0","0","0","0.0859375","0.0859375","0.0859375","0.1640625","0.1640625","0.1640625","0.0078125","0.0078125","0.0078125","0.09375","0.09375","0.09375"
"12","0.046875","0.046875","0.046875","0.2421875","0.2421875","0.2421875","0.21875","0.21875","0.21875","0.0859375","0.0859375","0.0859375","0.09375","0.09375","0.09375","0.0078125","0.0078125","0.0078125","0.17322835326194763","0.17322835326194763","0.17322835326194763","0.1825396865606308","0.1825396865606308","0.1825396865606308","0.015625","0.015625","0.015625","0.0546875","0.0546875","0.0546875"
"13","0.0859375","0.0859375","0.0859375","0.265625","0.265625","0.265625","0.1875","0.1875","0.1875","0.0625","0.0625","0.0625","0.1171875","0.1171875","0.1171875","0.0078125","0.0078125","0.0078125","0.1171875","0.1171875","0.1171875","0.1484375","0.1484375","0.1484375","0","0","0","0.2265625","0.2265625","0.2265625"
"14","0.0859375","0.0859375","0.0859375","0.1875","0.1875","0.1875","0.25","0.25","0.25","0.0390625","0.0390625","0.0390625","0.140625","0.140625","0.140625","0","0","0","0.14960630238056183","0.14960630238056183","0.14960630238056183","0.1269841343164444","0.1269841343164444","0.1269841343164444","0","0","0","0.1328125","0.1328125","0.1328125"
"15","0.046875","0.046875","0.046875","0.2578125","0.2578125","0.2578125","0.1953125","0.1953125","0.1953125","0.015625","0.015625","0.015625","0.1484375","0.1484375","0.1484375","0.0078125","0.0078125","0.0078125","0.171875","0.171875","0.171875","0.1484375","0.1484375","0.1484375","0","0","0","0.140625","0.140625","0.140625"
"16","0.078125","0.078125","0.078125","0.203125","0.203125","0.203125","0.2109375","0.2109375","0.2109375","0.046875","0.046875","0.046875","0.2109375","0.2109375","0.2109375","0","0","0","0.1428571492433548","0.1428571492433548","0.1428571492433548","0.1171875","0.1171875","0.1171875","0.0078125","0.0078125","0.0078125","0.1640625","0.1640625","0.1640625"
"17","0.1328125","0.1328125","0.1328125","0.1328125","0.1328125","0.1328125","0.1875","0.1875","0.1875","0.015625","0.015625","0.015625","0.171875","0.171875","0.171875","0","0","0","0.12800000607967377","0.12800000607967377","0.12800000607967377","0.1328125","0.1328125","0.1328125","0","0","0","0.21875","0.21875","0.21875"
"18","0.125","0.125","0.125","0.1953125","0.1953125","0.1953125","0.1953125","0.1953125","0.1953125","0.0234375","0.0234375","0.0234375","0.2109375","0.2109375","0.2109375","0","0","0","0.171875","0.171875","0.171875","0.18400000035762787","0.18400000035762787","0.18400000035762787","0","0","0","0.203125","0.203125","0.203125"
