"Step","20260211_181734_cliffwalking_traj_advantage_per_configA - val/score/mean","20260211_181734_cliffwalking_traj_advantage_per_configA - val/score/mean__MIN","20260211_181734_cliffwalking_traj_advantage_per_configA - val/score/mean__MAX","20260210_184748_cliffwalking_traj_reward_fresh_configA_age1000 - val/score/mean","20260210_184748_cliffwalking_traj_reward_fresh_configA_age1000 - val/score/mean__MIN","20260210_184748_cliffwalking_traj_reward_fresh_configA_age1000 - val/score/mean__MAX","20260210_184634_cliffwalking_traj_reward_fresh_configA_age500 - val/score/mean","20260210_184634_cliffwalking_traj_reward_fresh_configA_age500 - val/score/mean__MIN","20260210_184634_cliffwalking_traj_reward_fresh_configA_age500 - val/score/mean__MAX","20260210_184545_cliffwalking_traj_baseline_configA - val/score/mean","20260210_184545_cliffwalking_traj_baseline_configA - val/score/mean__MIN","20260210_184545_cliffwalking_traj_baseline_configA - val/score/mean__MAX","20260210_184819_cliffwalking_traj_reward_fresh_configA_age1500 - val/score/mean","20260210_184819_cliffwalking_traj_reward_fresh_configA_age1500 - val/score/mean__MIN","20260210_184819_cliffwalking_traj_reward_fresh_configA_age1500 - val/score/mean__MAX"
"0","-20.453125","-20.453125","-20.453125","-3.265625","-3.265625","-3.265625","0","0","0","-0.8359375","-0.8359375","-0.8359375","0","0","0"
"10","0","0","0","-3.125","-3.125","-3.125","-7.125","-7.125","-7.125","0","0","0","-20.3203125","-20.3203125","-20.3203125"
"20","-1.6015625","-1.6015625","-1.6015625","-5.484375","-5.484375","-5.484375","-0.796875","-0.796875","-0.796875","0","0","0","0","0","0"
"30","-5.515625","-5.515625","-5.515625","-3.90625","-3.90625","-3.90625","-25.140625","-25.140625","-25.140625","-0.78125","-0.78125","-0.78125","0","0","0"
"40","-3.9296875","-3.9296875","-3.9296875","-10.96875","-10.96875","-10.96875","-7.0546875","-7.0546875","-7.0546875","-2.359375","-2.359375","-2.359375","0","0","0"
"50","-3.1875","-3.1875","-3.1875","-7.03125","-7.03125","-7.03125","-6.28125","-6.28125","-6.28125","0","0","0","0","0","0"
"60","-3.15625","-3.15625","-3.15625","-7.03125","-7.03125","-7.03125","-2.3515625","-2.3515625","-2.3515625","0","0","0","0","0","0"
"70","-11.828125","-11.828125","-11.828125","-9.375","-9.375","-9.375","-8.59375","-8.59375","-8.59375","0","0","0","0","0","0"
"80","-6.3125","-6.3125","-6.3125","-2.34375","-2.34375","-2.34375","-9.4140625","-9.4140625","-9.4140625","0","0","0","0","0","0"
"90","-3.953125","-3.953125","-3.953125","-2.34375","-2.34375","-2.34375","-3.125","-3.125","-3.125","0","0","0","0","0","0"
"100","-13.4921875","-13.4921875","-13.4921875","-2.34375","-2.34375","-2.34375","-1.5625","-1.5625","-1.5625","0","0","0","0","0","0"
"110","-10.359375","-10.359375","-10.359375","-1.5625","-1.5625","-1.5625","-3.1484375","-3.1484375","-3.1484375","0","0","0","0","0","0"
"120","-9.5703125","-9.5703125","-9.5703125","-2.34375","-2.34375","-2.34375","-2.390625","-2.390625","-2.390625","0","0","0","0","0","0"
"130","-4","-4","-4","-1.5625","-1.5625","-1.5625","-7.0703125","-7.0703125","-7.0703125","-0.0078125","-0.0078125","-0.0078125","0","0","0"
"140","-17.3828125","-17.3828125","-17.3828125","-2.3515625","-2.3515625","-2.3515625","-2.3515625","-2.3515625","-2.3515625","0","0","0","0","0","0"
"150","-7.953125","-7.953125","-7.953125","0","0","0","-1.5703125","-1.5703125","-1.5703125","0","0","0","0","0","0"
"160","-4.7578125","-4.7578125","-4.7578125","-0.78125","-0.78125","-0.78125","-3.9453125","-3.9453125","-3.9453125","0","0","0","0","0","0"
"170","-7.0703125","-7.0703125","-7.0703125","-0.78125","-0.78125","-0.78125","-3.9453125","-3.9453125","-3.9453125","0","0","0","0","0","0"
"180","-3.15625","-3.15625","-3.15625","-1.5625","-1.5625","-1.5625","-0.7890625","-0.7890625","-0.7890625","0","0","0","0","0","0"
"190","-0.015625","-0.015625","-0.015625","0","0","0","-0.0078125","-0.0078125","-0.0078125","0","0","0","0","0","0"
"200","0","0","0","-0.78125","-0.78125","-0.78125","-0.78125","-0.78125","-0.78125","0","0","0","0","0","0"
"210","0","0","0","0","0","0","-0.7890625","-0.7890625","-0.7890625","0","0","0","0","0","0"
"220","0","0","0","-0.78125","-0.78125","-0.78125","0","0","0","0","0","0","0","0","0"
"230","0","0","0","-0.78125","-0.78125","-0.78125","0","0","0","0","0","0","0","0","0"
"240","0","0","0","-0.78125","-0.78125","-0.78125","0","0","0","0","0","0","0","0","0"
"250","0","0","0","-0.78125","-0.78125","-0.78125","0","0","0","0","0","0","0","0","0"
"260","0","0","0","-0.78125","-0.78125","-0.78125","0","0","0","0","0","0","0","0","0"
"270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"280","0","0","0","-0.78125","-0.78125","-0.78125","0","0","0","0","0","0","0","0","0"
"290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"370","0","0","0","","","","","","","0","0","0","","",""
"380","0","0","0","","","","","","","0","0","0","","",""
"390","0","0","0","","","","","","","0","0","0","","",""
