step,score,success
0,0.2578125,0.2578125
5,0.3046875,0.3046875
10,0.2578125,0.2578125
15,0.2890625,0.2890625
20,0.296875,0.296875
25,0.3125,0.3125
30,0.3359375,0.3359375
35,0.3828125,0.3828125
40,0.4140625,0.4140625
45,0.4375,0.4375
50,0.421875,0.421875
55,0.4296875,0.4296875
60,0.4375,0.4375
65,0.4375,0.4375
70,0.4765625,0.4765625
75,0.40625,0.40625
80,0.4453125,0.4453125
85,0.4375,0.4375
90,0.4453125,0.4453125
95,0.484375,0.484375
100,0.4609375,0.4609375
105,0.453125,0.453125
110,0.4453125,0.4453125
115,0.5,0.5
120,0.453125,0.453125
125,0.5078125,0.5078125
130,0.453125,0.453125
135,0.4453125,0.4453125
140,0.4296875,0.4296875
145,0.375,0.375
150,0.4609375,0.4609375
155,0.4140625,0.4140625
160,0.390625,0.390625
165,0.4296875,0.4296875
170,0.453125,0.453125
175,0.4296875,0.4296875
180,0.4453125,0.4453125
185,0.4609375,0.4609375
190,0.4453125,0.4453125
195,0.4609375,0.4609375
200,0.484375,0.484375
205,0.4296875,0.4296875
210,0.4453125,0.4453125
215,0.453125,0.453125
220,0.4453125,0.4453125
225,0.4765625,0.4765625
230,0.4921875,0.4921875
235,0.4765625,0.4765625
240,0.484375,0.484375
245,0.5078125,0.5078125
250,0.5078125,0.5078125
255,0.4765625,0.4765625
260,0.4765625,0.4765625
265,0.4453125,0.4453125
270,0.421875,0.421875
275,0.4609375,0.4609375
280,0.5,0.5
285,0.453125,0.453125
290,0.4765625,0.4765625
295,0.4453125,0.4453125
